GO_x,GO_y
2625.19,42740.2
2623.7,42748.6
2622.2,42703.9
2620.7,42719.6
2619.21,42593.2
2617.71,42575.8
2616.21,42552.6
2614.72,42379.7
2613.22,42298.9
2611.72,42187.4
2610.22,42144.7
2608.72,42059.1
2607.22,42007.9
2605.72,41853
2604.22,41887.2
2602.72,41792.6
2601.22,41612.7
2599.72,41522.6
2598.22,41423.5
2596.71,41301
2595.21,41329.9
2593.71,41277.9
2592.2,41203.2
2590.7,41156.5
2589.2,41152.8
2587.69,41126.7
2586.19,41021.7
2584.68,40832.9
2583.18,40840.6
2581.67,40834.5
2580.16,40827.6
2578.66,40859.5
2577.15,40715.4
2575.64,40733.7
2574.13,40526.9
2572.63,40483.3
2571.12,40280.9
2569.61,40087.3
2568.1,40012.4
2566.59,39873.7
2565.08,39728.1
2563.57,39580
2562.06,39491.2
2560.55,39333.7
2559.03,39250.9
2557.52,39178.7
2556.01,39000.8
2554.5,38781.5
2552.98,38623.9
2551.47,38505.3
2549.96,38366
2548.44,38132.9
2546.93,38025.7
2545.41,37933.1
2543.9,37794.2
2542.38,37648.8
2540.86,37624
2539.35,37493.4
2537.83,37432.6
2536.31,37285.5
2534.79,37125.5
2533.28,36978.1
2531.76,36872.1
2530.24,36741.8
2528.72,36599.4
2527.2,36445.1
2525.68,36407.4
2524.16,36286.6
2522.64,36103.5
2521.12,36092.1
2519.59,36056.3
2518.07,35929
2516.55,35708.2
2515.03,35580.7
2513.5,35442.5
2511.98,35316.9
2510.46,35165.9
2508.93,35032.2
2507.41,34905.9
2505.88,34841.9
2504.36,34674.3
2502.83,34537.2
2501.3,34434.2
2499.78,34282.4
2498.25,34188.1
2496.72,34120.9
2495.2,33938.9
2493.67,33819.8
2492.14,33649
2490.61,33512.1
2489.08,33446.2
2487.55,33347.6
2486.02,33214
2484.49,33113.4
2482.96,32887.7
2481.43,32753.8
2479.9,32798.2
2478.36,32583.9
2476.83,32324.6
2475.3,32269.4
2473.77,32185.2
2472.23,32068.6
2470.7,31927.5
2469.16,31807.8
2467.63,31711.4
2466.09,31570.9
2464.56,31519.1
2463.02,31476.9
2461.49,31321.7
2459.95,31244.3
2458.41,31119.1
2456.87,31153
2455.34,31027.2
2453.8,30918.9
2452.26,30841.9
2450.72,30804.4
2449.18,30687.3
2447.64,30610.5
2446.1,30557.9
2444.56,30583.8
2443.02,30559.3
2441.48,30474
2439.94,30435.8
2438.39,30479.9
2436.85,30411.3
2435.31,30283.3
2433.77,30247.1
2432.22,30212.9
2430.68,30151.8
2429.13,30088.6
2427.59,30096.6
2426.04,30030.6
2424.5,30058.9
2422.95,29982.1
2421.41,29978.4
2419.86,29968.4
2418.31,29836.4
2416.76,29677.8
2415.22,29689.2
2413.67,29467.9
2412.12,29526.5
2410.57,29367.1
2409.02,29319.3
2407.47,29126.6
2405.92,28990.1
2404.37,28797.6
2402.82,28720.3
2401.27,28701.4
2399.71,28540.1
