RGO_X,RGO_Y
754.361286,54.385659 
755.798165,54.400563 
757.235043,54.423805 
758.671922,54.380228 
760.108800,54.365298 
761.545679,54.332342 
762.982558,54.304026 
764.419436,54.314204 
765.856315,54.308041 
767.293194,54.361523 
768.730072,54.413948 
770.166951,54.414536 
771.603830,54.485702 
773.040708,54.557934 
774.477587,54.601302 
775.914465,54.668465 
777.351344,54.712789 
778.788223,54.793761 
780.225101,54.902180 
781.661980,55.008413 
783.098859,55.173984 
784.535737,55.292497 
785.972616,55.375872 
787.409495,55.521854 
788.846373,55.624006 
790.283252,55.698117 
791.720131,55.769736 
793.157009,55.784758 
794.593888,55.824090 
796.030766,55.865843 
797.467645,55.884161 
798.904524,55.915187 
800.341402,55.902818 
801.778281,55.922620 
803.215160,55.983552 
804.652038,55.988539 
806.088917,56.016979 
807.525796,56.032158 
808.962674,55.996275 
810.399553,56.031240 
811.836431,56.076628 
813.273310,56.083372 
814.710189,56.107401 
816.147067,56.135141 
817.583946,56.185626 
819.020825,56.234457 
820.457703,56.276153 
821.894582,56.354423 
823.331461,56.402512 
824.768339,56.439942 
826.205218,56.501319 
827.642097,56.517072 
829.078975,56.550621 
830.515854,56.626528 
831.952732,56.674969 
833.389611,56.717105 
834.826490,56.740051 
836.263368,56.746760 
837.700247,56.757723 
839.137126,56.733424 
840.574004,56.721765 
842.010883,56.730561 
843.447762,56.703154 
844.884640,56.674752 
846.321519,56.642508 
847.758397,56.595248 
849.195276,56.576368 
850.632155,56.584664 
852.069033,56.587783 
853.505912,56.536632 
854.942791,56.455080 
856.379669,56.409826 
857.816548,56.375950 
859.253427,56.349081 
860.690305,56.310097 
862.127184,56.230528 
863.564063,56.192842 
865.000941,56.175030 
866.437820,56.118183 
867.874698,56.086709 
869.311577,56.054199 
870.748456,55.998106 
872.185334,55.967545 
873.622213,55.939014 
875.059092,55.926197 
876.495970,55.939459 
877.932849,55.941662 
879.369728,55.940403 
880.806606,55.900441 
882.243485,55.822288 
883.680363,55.814923 
885.117242,55.906475 
886.554121,56.010371 
887.990999,56.050662 
889.427878,56.042799 
890.864757,56.022813 
892.301635,55.973491 
893.738514,55.913651 
895.175393,55.864689 
896.612271,55.801662 
898.049150,55.727238 
899.486029,55.649515 
900.922907,55.587135 
902.359786,55.531763 
903.796664,55.445925 
905.233543,55.381068 
906.670422,55.339005 
908.107300,55.263983 
909.544179,55.200554 
910.981058,55.141871 
912.417936,55.063081 
913.854815,55.008116 
915.291694,54.951503 
916.728572,54.888867 
918.165451,54.847552 
919.602329,54.797031 
921.039208,54.727852 
922.476087,54.641223 
923.912965,54.569498 
925.349844,54.521736 
926.786723,54.433867 
928.223601,54.351329 
929.660480,54.309153 
931.097359,54.246281 
932.534237,54.185646 
933.971116,54.121757 
935.407995,54.056056 
936.844873,54.050048 
938.281752,54.031452 
939.718630,53.973561 
941.155509,53.943135 
942.592388,53.904899 
944.029266,53.858852 
945.466145,53.833753 
946.903024,53.793357 
948.339902,53.736908 
949.776781,53.690742 
951.213660,53.665440 
952.650538,53.637438 
954.087417,53.600500 
955.524295,53.573595 
956.961174,53.505964 
958.398053,53.409865 
959.834931,53.344185 
961.271810,53.259954 
962.708689,53.152972 
964.145567,53.041162 
965.582446,52.925073 
967.019325,52.857076 
968.456203,52.790454 
969.893082,52.715860 
971.329961,52.694689 
972.766839,52.651780 
974.203718,52.589438 
975.640596,52.551140 
977.077475,52.504777 
978.514354,52.484909 
979.951232,52.431438 
981.388111,52.333289 
982.824990,52.310777 
984.261868,52.292694 
985.698747,52.257613 
987.135626,52.253947 
988.572504,52.188452 
990.009383,52.107095 
991.446261,52.049949 
992.883140,51.967218 
994.320019,51.922621 
995.756897,51.869162 
997.193776,51.776197 
998.630655,51.726964 
1000.067533,51.680305 
1001.504412,51.651275 
1002.941291,51.651726 
1004.378169,51.604366 
1005.815048,51.557741 
1007.251926,51.524716 
1008.688805,51.474955 
1010.125684,51.425755 
1011.562562,51.358800 
1012.999441,51.318957 
1014.436320,51.281476 
1015.873198,51.197158 
1017.310077,51.168202 
1018.746956,51.161162 
1020.183834,51.128550 
1021.620713,51.127806 
1023.057592,51.098365 
1024.494470,51.082310 
1025.931349,51.133585 
1027.368227,51.155152 
1028.805106,51.172030 
1030.241985,51.208706 
1031.678863,51.253368 
1033.115742,51.337350 
1034.552621,51.399847 
1035.989499,51.460771 
1037.426378,51.573490 
1038.863257,51.694544 
1040.300135,51.818433 
1041.737014,51.901490 
1043.173892,51.973859 
1044.610771,52.108774 
1046.047650,52.208221 
1047.484528,52.295092 
1048.921407,52.432599 
1050.358286,52.537223 
1051.795164,52.641881 
1053.232043,52.749472 
1054.668922,52.832846 
1056.105800,52.963640 
1057.542679,53.067271 
1058.979558,53.120092 
1060.416436,53.219565 
1061.853315,53.328248 
1063.290193,53.439238 
1064.727072,53.561061 
1066.163951,53.658914 
1067.600829,53.767178 
1069.037708,53.863719 
1070.474587,53.936204 
1071.911465,54.026307 
1073.348344,54.103313 
1074.785223,54.173261 
1076.222101,54.262051 
1077.658980,54.356176 
1079.095858,54.447046 
1080.532737,54.508426 
1081.969616,54.567120 
1083.406494,54.645720 
1084.843373,54.716121 
1086.280252,54.793747 
1087.717130,54.867347 
1089.154009,54.942802 
1090.590888,55.038524 
1092.027766,55.101699 
1093.464645,55.161291 
1094.901524,55.233656 
1096.338402,55.274261 
1097.775281,55.331323 
1099.212159,55.389598 
1100.649038,55.432765 
1102.085917,55.511494 
1103.522795,55.562316 
1104.959674,55.590461 
1106.396553,55.649936 
1107.833431,55.688108 
1109.270310,55.724729 
1110.707189,55.767801 
1112.144067,55.794090 
1113.580946,55.852761 
1115.017824,55.924923 
1116.454703,56.005057 
1117.891582,56.107139 
1119.328460,56.189472 
1120.765339,56.281236 
1122.202218,56.380776 
1123.639096,56.474925 
1125.075975,56.600887 
1126.512854,56.702957 
1127.949732,56.792172 
1129.386611,56.923436 
1130.823490,57.033483 
1132.260368,57.126280 
1133.697247,57.228709 
1135.134125,57.319644 
1136.571004,57.416183 
1138.007883,57.505547 
1139.444761,57.594827 
1140.881640,57.697049 
1142.318519,57.789528 
1143.755397,57.902089 
1145.192276,58.014120 
1146.629155,58.102473 
1148.066033,58.206645 
1149.502912,58.287805 
1150.939790,58.353447 
1152.376669,58.444117 
1153.813548,58.509554 
1155.250426,58.563813 
1156.687305,58.628159 
1158.124184,58.677898 
1159.561062,58.728749 
1160.997941,58.770669 
1162.434820,58.816676 
1163.871698,58.880869 
1165.308577,58.926155 
1166.745456,58.968737 
1168.182334,59.000716 
1169.619213,59.011963 
1171.056091,59.029882 
1172.492970,59.013758 
1173.929849,58.993145 
1175.366727,59.003420 
1176.803606,58.975161 
1178.240485,58.944586 
1179.677363,58.928584 
1181.114242,58.887861 
1182.551121,58.886060 
1183.987999,58.893759 
1185.424878,58.872456 
1186.861756,58.875033 
1188.298635,58.870360 
1189.735514,58.875411 
1191.172392,58.909408 
