PEG_X,PEG_Y
1102.085917,74.937848 
1103.522795,75.217955 
1104.959674,75.465647 
1106.396553,75.815700 
1107.833431,76.113944 
1109.270310,76.368676 
1110.707189,76.698892 
1112.144067,76.987081 
1113.580946,77.283518 
1115.017824,77.615591 
1116.454703,77.942577 
1117.891582,78.310714 
1119.328460,78.606896 
1120.765339,78.856409 
1122.202218,79.156723 
1123.639096,79.381828 
1125.075975,79.566307 
1126.512854,79.780756 
1127.949732,79.958726 
1129.386611,80.136460 
1130.823490,80.317175 
1132.260368,80.497213 
1133.697247,80.709549 
1135.134125,80.916039 
1136.571004,81.141954 
1138.007883,81.392479 
1139.444761,81.642513 
1140.881640,81.940000 
1142.318519,82.259083 
1143.755397,82.580352 
1145.192276,82.925535 
1146.629155,83.275276 
1148.066033,83.650871 
1149.502912,84.022252 
1150.939790,84.341672 
1152.376669,84.662377 
1153.813548,84.994691 
1155.250426,85.308417 
1156.687305,85.591974 
1158.124184,85.826218 
1159.561062,86.037978 
1160.997941,86.241968 
1162.434820,86.413904 
1163.871698,86.563384 
1165.308577,86.671535 
1166.745456,86.722328 
1168.182334,86.771572 
1169.619213,86.822170 
1171.056091,86.836139 
1172.492970,86.835122 
1173.929849,86.838971 
1175.366727,86.837871 
1176.803606,86.824111 
1178.240485,86.814649 
1179.677363,86.829546 
1181.114242,86.835132 
1182.551121,86.816367 
1183.987999,86.811649 
1185.424878,86.819997 
1186.861756,86.828562 
1188.298635,86.850404 
1189.735514,86.867759 
1191.172392,86.854522 
1192.609271,86.829776 
1194.046150,86.807200 
1195.483028,86.759178 
1196.919907,86.686475 
1198.356786,86.617881 
1199.793664,86.538994 
1201.230543,86.441886 
1202.667422,86.349136 
1204.104300,86.249434 
1205.541179,86.125444 
1206.978057,85.975858 
1208.414936,85.808559 
1209.851815,85.638881 
1211.288693,85.443649 
1212.725572,85.215571 
1214.162451,84.984038 
1215.599329,84.743206 
1217.036208,84.505026 
1218.473087,84.265895 
1219.909965,83.997462 
1221.346844,83.749949 
1222.783722,83.542218 
1224.220601,83.378021 
1225.657480,83.297898 
1227.094358,83.261000 
1228.531237,83.263831 
1229.968116,83.307202 
1231.404994,83.335227 
1232.841873,83.371979 
1234.278752,83.400180 
1235.715630,83.398066 
1237.152509,83.406783 
