GO_X,GO_Y
998.630655,71.797516 
1000.067533,71.855274 
1001.504412,71.908329 
1002.941291,71.971294 
1004.378169,72.029418 
1005.815048,72.091540 
1007.251926,72.106319 
1008.688805,72.135115 
1010.125684,72.202266 
1011.562562,72.200943 
1012.999441,72.216179 
1014.436320,72.249537 
1015.873198,72.204696 
1017.310077,72.173482 
1018.746956,72.116339 
1020.183834,72.007998 
1021.620713,71.961096 
1023.057592,71.901515 
1024.494470,71.805552 
1025.931349,71.706018 
1027.368227,71.570413 
1028.805106,71.474413 
1030.241985,71.395461 
1031.678863,71.290846 
1033.115742,71.197050 
1034.552621,71.056430 
1035.989499,70.936749 
1037.426378,70.858262 
1038.863257,70.719412 
1040.300135,70.623171 
1041.737014,70.551279 
1043.173892,70.438587 
1044.610771,70.390739 
1046.047650,70.331873 
1047.484528,70.253939 
1048.921407,70.245573 
1050.358286,70.239971 
1051.795164,70.274700 
1053.232043,70.324246 
1054.668922,70.332424 
1056.105800,70.415201 
1057.542679,70.513755 
1058.979558,70.549940 
1060.416436,70.569900 
1061.853315,70.552682 
1063.290193,70.539518 
1064.727072,70.554876 
1066.163951,70.595135 
1067.600829,70.665344 
1069.037708,70.687220 
1070.474587,70.728767 
1071.911465,70.814445 
1073.348344,70.854546 
1074.785223,70.954095 
1076.222101,71.085455 
1077.658980,71.179069 
1079.095858,71.315234 
1080.532737,71.405929 
1081.969616,71.496470 
1083.406494,71.675824 
1084.843373,71.793972 
1086.280252,71.891134 
1087.717130,72.021734 
1089.154009,72.131259 
1090.590888,72.277652 
1092.027766,72.415144 
1093.464645,72.543779 
1094.901524,72.706460 
1096.338402,72.845329 
1097.775281,73.027968 
1099.212159,73.212069 
1100.649038,73.326510 
1102.085917,73.486201 
1103.522795,73.639515 
1104.959674,73.771979 
1106.396553,73.942499 
1107.833431,74.056542 
1109.270310,74.184559 
1110.707189,74.352291 
1112.144067,74.451851 
1113.580946,74.560934 
1115.017824,74.687011 
1116.454703,74.813875 
1117.891582,74.967775 
1119.328460,75.057461 
1120.765339,75.149908 
1122.202218,75.290766 
1123.639096,75.394297 
1125.075975,75.528226 
1126.512854,75.665515 
1127.949732,75.759079 
1129.386611,75.871804 
1130.823490,75.954779 
1132.260368,76.057641 
1133.697247,76.201295 
1135.134125,76.270686 
1136.571004,76.355015 
1138.007883,76.481522 
1139.444761,76.572519 
1140.881640,76.682601 
1142.318519,76.775651 
1143.755397,76.851693 
1145.192276,76.969917 
1146.629155,77.060831 
1148.066033,77.137093 
1149.502912,77.211349 
1150.939790,77.253794 
1152.376669,77.322774 
1153.813548,77.380868 
1155.250426,77.410833 
1156.687305,77.465263 
1158.124184,77.499851 
1159.561062,77.536945 
1160.997941,77.593020 
1162.434820,77.622205 
1163.871698,77.662946 
